OBJECTID,SURVEYJOBIDPK,SURVEYAGENCY,CHANNELAREAIDFK,SDSFEATURENAME,SOURCEPROJECTION,SURVEYDATEUPLOADED,SOURCEDATALOCATION,SURVEYDATEEND,SURVEYDATESTART,SURVEYTYPE,PROJECTEDAREA,Hi-Res?
548139,SW_09_SWP_20180920_CS,CEMVN,CEMVN_SW_09_SWP,SOUTHWEST PASS - SHEET 9,Louisiana South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVN/SW_09_SWP_20180920_CS.ZIP,2018-09-20,2018-09-20,CS,13629641.563967,Ovrd
548140,SW_05_SWP_20180920_CS_PTA,CEMVN,CEMVN_SW_05_SWP,SOUTHWEST PASS - SHEET 5,Louisiana South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVN/SW_05_SWP_20180920_CS_PTA.ZIP,2018-09-20,2018-09-20,CS,43506495.0384846,Ovrd
548141,SW_04_SWP_20180920_CS_PTA,CEMVN,CEMVN_SW_04_SWP,SOUTHWEST PASS - SHEET 4,Louisiana South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVN/SW_04_SWP_20180920_CS_PTA.ZIP,2018-09-20,2018-09-20,CS,47692186.0436937,Ovrd
548134,SW_08_SWP_20180921_CS,CEMVN,CEMVN_SW_08_SWP,SOUTHWEST PASS - SHEET 8,Louisiana South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVN/SW_08_SWP_20180921_CS.ZIP,2018-09-21,2018-09-21,CS,15650285.3230221,Ovrd
548135,SW_06_SWP_20180921_CS,CEMVN,CEMVN_SW_06_SWP,SOUTHWEST PASS - SHEET 6,Louisiana South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVN/SW_06_SWP_20180921_CS.ZIP,2018-09-21,2018-09-21,CS,17972145.0057337,Ovrd
548142,SW_03_SWP_20180920_CS_PTA,CEMVN,CEMVN_SW_03_SWP,SOUTHWEST PASS - SHEET 3,Louisiana South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVN/SW_03_SWP_20180920_CS_PTA.ZIP,2018-09-20,2018-09-20,CS,37829707.976239,Ovrd
548450,GA_01_ENT_20180906_CS_MLLW_46_CBD_76P000_55P841,CESWG,CESWG_GA_01_ENT,GALVESTON,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/GA_01_ENT_20180906_CS_MLLW_46_CBD_76P000_55P841.ZIP,2018-09-06,2018-09-06,CS,27441051.6392463,No
548451,GA_02_ENT_20180906_CS_46_MLLW_55841TO30515,CESWG,CESWG_GA_02_ENT,GALVESTON,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/GA_02_ENT_20180906_CS_46_MLLW_55841TO30515.ZIP,2018-09-06,2018-09-06,CS,34049070.8280398,No
548455,GA_03_OBC_20180806_CS_EX_PT_46_MLLW_30000TO23000,CESWG,CESWG_GA_03_OBC,GALVESTON,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/GA_03_OBC_20180806_CS_EX_PT_46_MLLW_30000TO23000.ZIP,2018-08-06,2018-08-06,CS,10125139.9494145,No
548458,GA_04_IBC_20180729_AD_46_MLLW,CESWG,CESWG_GA_04_IBC,GALVESTON,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/GA_04_IBC_20180729_AD_46_MLLW.ZIP,2018-07-29,2018-07-29,AD,17872986.8947193,No
548457,GA_04_IBC_20180731_AD_PR_46_MLLW_11000TO11400,CESWG,CESWG_GA_04_IBC,GALVESTON,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/GA_04_IBC_20180731_AD_PR_46_MLLW_11000TO11400.ZIP,2018-07-31,2018-07-31,AD,555420.43226291,No
548456,GA_04_IBC_20180806_CS_EX_01_PT_46_MLLW_10000TO4490,CESWG,CESWG_GA_04_IBC,GALVESTON,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/GA_04_IBC_20180806_CS_EX_01_PT_46_MLLW_10000TO4490.ZIP,2018-08-06,2018-08-06,CS,7990451.76328667,No
548452,GA_05_BRC_20180806_CS_EX_46_MLLW_4490TO0000,CESWG,CESWG_GA_05_BRC,GALVESTON,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/GA_05_BRC_20180806_CS_EX_46_MLLW_4490TO0000.ZIP,2018-08-06,2018-08-06,CS,6227245.19393827,No
548453,GI_10_BSB_20180920_CS_14_MLLW_593P940_614P000,CESWG,CESWG_GI_10_BSB,GULF INTRACOASTAL WATERWAY,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/GI_10_BSB_20180920_CS_14_MLLW_593P940_614P000.ZIP,2018-09-20,2018-09-20,CS,4427331.51713396,No
548449,HS_06_CBB_20180914_AD_02_46_MLLW_63000TO65800,CESWG,CESWG_HS_06_CBB,HOUSTON,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/HS_06_CBB_20180914_AD_02_46_MLLW_63000TO65800.ZIP,2018-09-14,2018-09-14,AD,2480794.49369423,No
548143,HS_11_HTB_20180917_AD_02_37_MLLW_0000TO1432,CESWG,CESWG_HS_11_HTB,HOUSTON,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/HS_11_HTB_20180917_AD_02_37_MLLW_0000TO1432.ZIP,2018-09-17,2018-09-17,AD,446474.275414,No
548144,SP_02_OBK_20180917_AD_06_42_MLLW,CESWG,CESWG_SP_02_OBK,SABINE,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/SP_02_OBK_20180917_AD_06_42_MLLW.ZIP,2018-09-17,2018-09-17,AD,5218048.00258497,No
548454,TC_01_BRT_20180918_CS_46_MLLW_MLLW_CMB_0000TO36200,CESWG,CESWG_TC_01_BRT,TEXAS_CITY,Texas South Central,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/TC_01_BRT_20180918_CS_46_MLLW_MLLW_CMB_0000TO36200.ZIP,2018-09-18,2018-09-18,CS,24282347.3579282,No
548461,UM_SP_P06_20180920_AD_7189_7195,CEMVP,CEMVP_UM_SP_P06,POOL_06_UPPER_MISSISSIPPI,Minnesota_South,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVP/UM_SP_P06_20180920_AD_7189_7195.ZIP,null,2018-09-20,AD,1501249.92510079,No
550371,UM_SP_P06_20180920_AD_7189_7195,CEMVP,CEMVP_UM_SP_P06,POOL_06_UPPER_MISSISSIPPI,Minnesota_South,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVP/UM_SP_P06_20180920_AD_7189_7195.ZIP,null,2018-09-20,AD,1501249.92510079,No
548460,UM_SP_P04_20180921_AD_7588_7593,CEMVP,CEMVP_UM_SP_P04,POOL_04_UPPER_MISSISSIPPI,Minnesota_South,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVP/UM_SP_P04_20180921_AD_7588_7593.ZIP,null,2018-09-21,AD,2020000.02365974,No
550370,UM_SP_P04_20180921_AD_7588_7593,CEMVP,CEMVP_UM_SP_P04,POOL_04_UPPER_MISSISSIPPI,Minnesota_South,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVP/UM_SP_P04_20180921_AD_7588_7593.ZIP,null,2018-09-21,AD,2020000.02365974,No
548462,UM_SP_P04_20180919_BD_7931_7940,CEMVP,CEMVP_UM_SP_P04,POOL_04_UPPER_MISSISSIPPI,Minnesota_South,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVP/UM_SP_P04_20180919_BD_7931_7940.ZIP,null,2018-09-19,BD,2309999.88071193,No
550372,UM_SP_P04_20180919_BD_7931_7940,CEMVP,CEMVP_UM_SP_P04,POOL_04_UPPER_MISSISSIPPI,Minnesota_South,2018-09-24,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVP/UM_SP_P04_20180919_BD_7931_7940.ZIP,null,2018-09-19,BD,2309999.88071193,No
